Episode,Step,State,Action,Reward,Penalty,Energy Efficiency
52,3,"[[8.0, 23.0, 1.0, 1.0, 571.4285714285714, 372.0930232558139, 216.0, 246.0]]",5,-0.10208962497034513,12.0,1.8979103750296547
52,4,"[[11.0, 23.0, 1.0, 1.0, 516.1290322580645, 372.0930232558139, 222.0, 246.0]]",3,-35.97696856520386,38.0,2.023031434796141
52,5,"[[34.0, 0.0, 1.0, 0.0, 296.2962962962963, 0.0, 268.0, 0.0]]",1,-45.00049975012494,46.0,0.9995002498750624
53,0,"[[9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0, 0.0]]",5,-40.94957983193277,42.0,1.050420168067227
54,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",4,-26.414059240717563,38.5,2.0859407592824364
54,1,"[[4.0, 31.0, 1.0, 1.0, 666.6666666666667, 313.72549019607845, 208.0, 262.0]]",3,-34.86508724641793,36.0,1.1349127535820682
55,0,"[[12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0, 0.0]]",4,16.04624817431662,6.0,2.04624817431662
55,1,"[[11.0, 18.0, 1.0, 1.0, 516.1290322580645, 421.0526315789474, 222.0, 236.0]]",1,14.701058201058201,7.5,2.2010582010582014
55,2,"[[10.0, 15.0, 1.0, 1.0, 533.3333333333334, 457.14285714285717, 220.0, 230.0]]",2,11.80621396540679,10.5,2.3062139654067906
55,3,"[[8.0, 15.0, 1.0, 1.0, 571.4285714285714, 457.14285714285717, 216.0, 230.0]]",1,7.426939023157043,15.0,2.4269390231570434
55,4,"[[9.0, 11.0, 1.0, 1.0, 551.7241379310345, 516.1290322580645, 218.0, 222.0]]",4,-8.354497354497354,31.0,2.6455026455026456
55,5,"[[8.0, 8.0, 1.0, 1.0, 571.4285714285714, 571.4285714285714, 216.0, 216.0]]",1,-14.092941998602377,37.0,2.907058001397624
56,0,"[[3.0, 9.0, 1.0, 1.0, 695.6521739130435, 551.7241379310345, 206.0, 218.0]]",3,-2.8544973544973544,15.5,2.6455026455026456
56,1,"[[8.0, 0.0, 1.0, 0.0, 571.4285714285714, 0.0, 216.0, 0.0]]",2,-6.9523809523809526,20.0,3.0476190476190474
56,2,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",1,-6.9523809523809526,20.0,3.0476190476190474
56,3,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",3,-6.597318539066112,20.0,3.4026814609338882
57,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",2,-3.932750555938961,17.0,3.0672494440610385
58,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",1,0.5692845858722642,12.5,3.069284585872264
59,0,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",4,-12.615057494726813,35.5,2.884942505273185
